claim_id	paper_class	property_id	tool	suite	target_id	property_kind	expected_status	actual_status	expected_match	evidence_role	model_path	evidence_path	assumptions_ref	limitations_ref	allowed_statement_ref	prohibited_statement_ref
P0-S	paper-mainline	pv-original-baseline-q05	proverif	proverif-original	BASELINE	direct_theorem	true	true	MATCH	inherited evidence	logs/final/proverif/generated/BASELINE.pv	logs/final/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P0-O	paper-mainline	pv-original-component-q01	proverif	proverif-original	COMPONENT	structural_result	true	true	MATCH	structural result	logs/final/proverif/generated/COMPONENT.pv	logs/final/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P1	paper-mainline	pv-original-baseline-q02	proverif	proverif-original	BASELINE	falsified_universal_property	false	false	MATCH	falsified universal property	logs/final/proverif/generated/BASELINE.pv	logs/final/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P1	paper-mainline	pv-hmac-hmac_baseline-q02	proverif	proverif-hmac	HMAC_BASELINE	direct_theorem	true	true	MATCH	direct theorem	logs/variants/hmac-confirmation/proverif/generated/HMAC_BASELINE.pv	logs/variants/hmac-confirmation/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P1	paper-mainline	pv-hmac-hmac_leak_sigsk_a-q02	proverif	proverif-hmac	HMAC_LEAK_SIGSK_A	falsified_universal_property	false	false	MATCH	falsified universal property	logs/variants/hmac-confirmation/proverif/generated/HMAC_LEAK_SIGSK_A.pv	logs/variants/hmac-confirmation/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P2	paper-mainline	tam-original-replay-one_send_two_accepts_exists	tamarin-prover	original-replay	one_send_two_accepts_exists	positive_attack_witness	verified	verified	MATCH	positive attack witness	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P2	paper-mainline	tam-original-replay-same_message_accepted_at_most_once	tamarin-prover	original-replay	same_message_accepted_at_most_once	falsified_universal_property	falsified	falsified	MATCH	falsified universal property	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P2	paper-mainline	tam-original-replay-receiver_accept_has_sender	tamarin-prover	original-replay	receiver_accept_has_sender	structural_result	verified	verified	MATCH	direct theorem	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P2	paper-mainline	tam-original-replay-normal_single_accept	tamarin-prover	original-replay	normal_single_accept	non_vacuity	verified	verified	MATCH	non-vacuity result	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
P2	paper-mainline	tam-original-impact-one_send_two_accepts_two_installs_exists	tamarin-prover	original-impact	one_send_two_accepts_two_installs_exists	positive_attack_witness	verified	verified	MATCH	positive attack witness	tamarin/impact/kwaay_impact_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md
