artifact_id	path	artifact_class	milestone	paper_role	authoritative_or_generated	source_commit	git_blob	blob_sha256	evidence_path	freeze_status	known_limitation
pv-original-source	proverif/kwaay_core_final.cpp.pv	model	M0	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	f8fded3f616d7b6e203933921922ef049437e36b	73d7ae3d4ad4a120c868b3c841ce9a604ad21bf2349234bcea54ff8204e3857e	logs/final/proverif/summary.txt	frozen	symbolic ProVerif abstraction
pv-hmac-source	proverif/variants/hmac-confirmation/kwaay_core_hmac_confirmation.cpp.pv	model	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	69d27acf560552293b486f5667b6be50e331fa93	b7a1787ae12bdff7b3a02d179adf00f56006bd03a786726cdbc39fbf4c2e775a	logs/variants/hmac-confirmation/proverif/summary.txt	frozen	HMAC confirmation only; not AEAD
tamarin-v6	tamarin/kwaay_splitkem_batch_dynamic_v6.spthy	model	M0	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	cc7d7d962bbe1bc8d8e09354ca8fdf911be865f9	ebded39cc3ba1a771dd639dd78586efd54b9c6acc242fa2cca244e334af479b3	logs/tamarin-v6/summary.txt	frozen	symbolic fixed-two-slot scope; see indexed claim documents
tamarin-v7	tamarin/kwaay_splitkem_batch_dynamic_v7.spthy	model	M0	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	7c8c73eb795ee5fd8196654af2a6ecf04a73b380	7dd91deac3e16fbb600b1dd646e6c783aa56ce779b9097216bba0814e7b37a47	logs/tamarin-v7/summary.txt	frozen	symbolic fixed-two-slot scope; see indexed claim documents
replay-original	tamarin/replay/kwaay_replay_original.spthy	model	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	e3699da2f827a683ded2feaaa7db2d51ad74c023	064ec603bdfac917246a12762774701bc624c40ccb11eb6a88adf94befb4322e	logs/tamarin-replay-hmac-only/original-regression-summary.txt	frozen	symbolic fixed-two-slot scope; see indexed claim documents
replay-hmac	tamarin/replay/kwaay_replay_hmac_only.spthy	model	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	589e8693f23d76fcf3977d6ca3784a2f670d5d8d	31325a0e3024b0a9aa550ee0226b611b570c86ba72f698fd01e91669b213579f	logs/tamarin-replay-hmac-only/summary.txt	frozen	same receiver state and exact base-message identity
impact-original	tamarin/impact/kwaay_impact_original.spthy	model	M2	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c5cdc0d7233f3a415839b8f289182c0986d911a8	a76999a32d4d3c63f88af544c6cb5fa7a7d7240fcad5c0e9f2b3d17abaf9d2f0	logs/tamarin-impact-original/summary.txt	frozen	C_install-v2 conditional interface
replay-fixed	tamarin/replay/kwaay_replay_fixed.spthy	model	M3	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	493568857492e9c17b896dfb2ab3692f7b48d365	ae040141a099953dc237bb44ee0f88d55b5ea396cc2019475a5fb3a72eaf36ec	logs/tamarin-m3-closeout/composite-result-vector.tsv	frozen	symbolic fixed-two-slot scope; see indexed claim documents
impact-fixed	tamarin/impact/kwaay_impact_fixed.spthy	model	M3	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	3a707c022594ce84f23c2f39623715fe3c3f47e2	cc3c24537d9fc24fe9e2a14321fa57b649498710940ce48621da1bed1a5c27a9	logs/tamarin-m3-closeout/composite-result-vector.tsv	frozen	C_install-v2 conditional interface
replay-combined	tamarin/replay/kwaay_replay_hmac_dedup.spthy	model	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	8bf460e44b0b25bf85566fc8ab28e39b38a44c4f	7b0f6ce659ba5d3a86cdb4fa209ff53d19b5cd970fbf28dfd5acdc5d0826acb1	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	frozen	symbolic fixed-two-slot scope; see indexed claim documents
impact-combined	tamarin/impact/kwaay_impact_hmac_dedup.spthy	model	M4	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	899ce9045af31e079ee3550a9ccb6d0b19006bd4	38105b64c10e5e391c3206c3559d4fa13cd02a62244fb34adc3a6c18dbef4da7	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	frozen	C_install-v2 conditional interface
m1-runner	tamarin/replay/run-hmac-only.sh	runner	M1	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	12fdf2430c9c0630a92d621b45ca294b2637ddc0	2828cc0029adf5c441ce56893f10244cb3488315d3f3e4ec30b770451cf24294	logs/tamarin-replay-hmac-only/summary.txt	frozen	legacy runner; not called in-place
m2-runner	tamarin/impact/run-impact-original.sh	runner	M2	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	7dc5be4ac1972b6cbb949301aac90b66e999215b	1db2924b999ac9e68d40d047b3a012afd284f4961463723bb9b9e439226c15a5	logs/tamarin-impact-original/summary.txt	frozen	legacy runner; not called in-place
m3-runner	tamarin/milestones/run-m3-dedup.sh	runner	M3	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	1b2bcd06448b832663b4534dcfc5074ac3c9e683	410ec3a46e0829238b00ee1972580aa3631d94394fa92f83a20562d923b1216c	logs/tamarin-m3-closeout/closeout-summary.txt	frozen	legacy runner; not called in-place
m4-runner	tamarin/milestones/run-m4-hmac-dedup.sh	runner	M4	regression-only	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	48fbaa50750b763152dbc117eb1035f8ce807291	5b8c58f71ff8e58fd610489b304fa0ba51bca5ee82a39d0cfb848a288294848f	logs/tamarin-m4-hmac-dedup/composite-summary.txt	frozen	frozen Tamarin-only policy source
m1-summary	logs/tamarin-replay-hmac-only/summary.txt	evidence	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	d96e971881e6859d1b8a9786b174886bb3533392	0c5eb796cb9b14c969a19ffe30d3ad939b1a08e3e000ab8a502260dce44c5142	logs/tamarin-replay-hmac-only/summary.txt	frozen	single committed historical run
m1-raw	logs/tamarin-replay-hmac-only/raw.out	raw-evidence	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	990ea2368012792db18e7983e70503e62410b23f	764e31b412dd874ff4dc8eac1891fbb41aa71f6f740e7c1f4245e9ea51904e4d	logs/tamarin-replay-hmac-only/summary.txt	frozen	raw HMAC-only replay result
m1-versions	logs/tamarin-replay-hmac-only/versions.txt	provenance	M1	paper-mainline	authoritative	211ffd0a8ed8a7051d12dcc165566a66e64ab970	0b2dac4804e7f6ec8f996c1e4a899e57372df11a	fa5c50ee9ae19d2283d1b4302aed23198119e73d3013968daced665993e07a6e	logs/tamarin-replay-hmac-only/summary.txt	frozen	historical tool versions
