suite	lemma	expected_status	run1_status	run1_exit	run1_loop	run2_status	run2_exit	run2_loop	selected_run	selected_raw_output	selection_reason
fixed-impact	accept_id_unique	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/accept_id_unique.out	run2 terminal and matches frozen expected vector
fixed-impact	accept_output_has_same_time_accept	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/accept_output_has_same_time_accept.out	run2 terminal and matches frozen expected vector
fixed-impact	accept_output_installed_at_most_once	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/accept_output_installed_at_most_once.out	run2 terminal and matches frozen expected vector
fixed-impact	batch_complete_consumes_state	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/batch_complete_consumes_state.out	run2 terminal and matches frozen expected vector
fixed-impact	batch_end_token_single_use	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/batch_end_token_single_use.out	run2 terminal and matches frozen expected vector
fixed-impact	batch_fail_complete_exclusive	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/batch_fail_complete_exclusive.out	run2 terminal and matches frozen expected vector
fixed-impact	batch_fail_consumes_state	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/batch_fail_consumes_state.out	run2 terminal and matches frozen expected vector
fixed-impact	complete_requires_all_slots_processed	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/complete_requires_all_slots_processed.out	run2 terminal and matches frozen expected vector
fixed-impact	consumer_complete_requires_all_outputs_installed	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/consumer_complete_requires_all_outputs_installed.out	run2 terminal and matches frozen expected vector
fixed-impact	consumer_complete_single_use	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/consumer_complete_single_use.out	run2 terminal and matches frozen expected vector
fixed-impact	dedup_decision_single_use	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/dedup_decision_single_use.out	run2 terminal and matches frozen expected vector
fixed-impact	dedup_outcomes_exclusive	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/dedup_outcomes_exclusive.out	run2 terminal and matches frozen expected vector
fixed-impact	dedup_pass_messages_distinct	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/dedup_pass_messages_distinct.out	run2 terminal and matches frozen expected vector
fixed-impact	distinct_accept_sources_have_distinct_handles	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/distinct_accept_sources_have_distinct_handles.out	run2 terminal and matches frozen expected vector
fixed-impact	duplicate_batch_fail_exists	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/duplicate_batch_fail_exists.out	run2 terminal and matches frozen expected vector
fixed-impact	duplicate_batch_has_no_accept	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/duplicate_batch_has_no_accept.out	run2 terminal and matches frozen expected vector
fixed-impact	duplicate_batch_has_no_accept_output	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/duplicate_batch_has_no_accept_output.out	run2 terminal and matches frozen expected vector
fixed-impact	duplicate_batch_has_no_install	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/duplicate_batch_has_no_install.out	run2 terminal and matches frozen expected vector
fixed-impact	duplicate_detected_before_any_accept	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/duplicate_detected_before_any_accept.out	run2 terminal and matches frozen expected vector
fixed-impact	full_message_unique_send	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/full_message_unique_send.out	run2 terminal and matches frozen expected vector
fixed-impact	injective_receiver_accept	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/injective_receiver_accept.out	run2 terminal and matches frozen expected vector
fixed-impact	install_event_has_single_source	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/install_event_has_single_source.out	run2 terminal and matches frozen expected vector
fixed-impact	install_from_accept_has_session	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/install_from_accept_has_session.out	run2 terminal and matches frozen expected vector
fixed-impact	install_handle_unique	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/install_handle_unique.out	run2 terminal and matches frozen expected vector
fixed-impact	install_has_prior_accept	verified	missing	1	true	verified	0	false	run2	proofs/fixed-impact/install_has_prior_accept.out	run2 terminal and matches frozen expected vector
fixed-impact	install_requires_batch_complete	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/install_requires_batch_complete.out	run2 terminal and matches frozen expected vector
fixed-impact	install_session_has_interface_origin	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/install_session_has_interface_origin.out	run2 terminal and matches frozen expected vector
fixed-impact	no_accept_after_close	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/no_accept_after_close.out	run2 terminal and matches frozen expected vector
fixed-impact	no_add_after_seal	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/no_add_after_seal.out	run2 terminal and matches frozen expected vector
fixed-impact	no_consumer_after_failed_batch	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/no_consumer_after_failed_batch.out	run2 terminal and matches frozen expected vector
fixed-impact	no_install_after_consumer_close	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/no_install_after_consumer_close.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_batch_complete	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_batch_complete.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_consumer_complete	falsified	falsified	0	false	falsified	0	false	run2	proofs/fixed-impact/normal_consumer_complete.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_distinct_batch_complete	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_distinct_batch_complete.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_distinct_consumer_complete	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_distinct_consumer_complete.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_distinct_fail_slot1_exists	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_distinct_fail_slot1_exists.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_distinct_fail_slot2_exists	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_distinct_fail_slot2_exists.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_one_accept_one_install	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_one_accept_one_install.out	run2 terminal and matches frozen expected vector
fixed-impact	normal_single_accept	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/normal_single_accept.out	run2 terminal and matches frozen expected vector
fixed-impact	one_send_two_accepts_exists	falsified	falsified	0	false	falsified	0	false	run2	proofs/fixed-impact/one_send_two_accepts_exists.out	run2 terminal and matches frozen expected vector
fixed-impact	one_send_two_accepts_two_installs_exists	falsified	falsified	0	false	falsified	0	false	run2	proofs/fixed-impact/one_send_two_accepts_two_installs_exists.out	run2 terminal and matches frozen expected vector
fixed-impact	process_requires_dedup_pass	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/process_requires_dedup_pass.out	run2 terminal and matches frozen expected vector
fixed-impact	process_requires_seal	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/process_requires_seal.out	run2 terminal and matches frozen expected vector
fixed-impact	process_requires_slot_added	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/process_requires_slot_added.out	run2 terminal and matches frozen expected vector
fixed-impact	receiver_accept_has_output	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/receiver_accept_has_output.out	run2 terminal and matches frozen expected vector
fixed-impact	receiver_accept_has_sender	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/receiver_accept_has_sender.out	run2 terminal and matches frozen expected vector
fixed-impact	receiver_accept_has_unique_output	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/receiver_accept_has_unique_output.out	run2 terminal and matches frozen expected vector
fixed-impact	receiver_state_single_batch	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/receiver_state_single_batch.out	run2 terminal and matches frozen expected vector
fixed-impact	receiver_state_single_batch_end	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/receiver_state_single_batch_end.out	run2 terminal and matches frozen expected vector
fixed-impact	same_message_accepted_at_most_once	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/same_message_accepted_at_most_once.out	run2 terminal and matches frozen expected vector
fixed-impact	slot_indices_distinct	verified	verified	0	false	verified	0	false	run2	proofs/fixed-impact/slot_indices_distinct.out	run2 terminal and matches frozen expected vector
