authority_id	authority_subject	authority_role	semantic_authority_path	evidence_authority_path	supporting_model_path	authority_status	limitation
RQv2-I	DistinctPartyPerBatch invariant	primary identity-level invariant	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_party_admission.spthy	current-rqv2-authority-overlay	Same-batch party uniqueness only; one party may have multiple sessions or messages and may occur in different batches.
RQv2-R	Relaxed admission model	primary necessity comparison	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_relaxed.spthy	current-rqv2-supporting-prototype	Bounded two-slot symbolic abstraction; not a counterexample to executions that retain DistinctPartyPerBatch.
RQv2-DA	Duplicate acceptance consequence	primary consequence of invalid batch composition	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_relaxed.spthy	current-rqv2-supported-claim	Reachability result is scoped to one Send occurrence and two receiver-accept occurrences in the relaxed prototype.
RQv2-P	Party admission restoration	primary restoration comparison	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_party_admission.spthy	current-rqv2-supported-claim	Restores intended batch identity semantics in the bounded model; no uniqueness claim about all possible injectivity mechanisms.
RQv2-M	Message dedup auxiliary comparison	auxiliary mechanism comparison	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_message_dedup.spthy	current-rqv2-auxiliary	Exact-message deduplication can restore scoped occurrence injectivity but does not enforce party uniqueness.
RQv2-IMPACT	Conditional upper-layer impact	conditional composition boundary	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	-	current-rqv2-conditional-only	Current RQ-v2 prototypes do not model consumption or installation; impact requires an explicit composition boundary such as C_install-v2.
RQv2-DOC-CONTRIBUTION	Research contribution freeze	canonical claim and non-claim boundary	docs/rq-v2/research-contribution.md	docs/rq-v2/prototype-execution-report.md	-	current-rqv2-authority-document	Bounded symbolic contribution only; no deployed-system, cryptographic-break, or unconditional impact claim.
RQv2-DOC-SEMANTICS	Admission semantics	canonical identity and admission semantics	docs/rq-v2/g2-admission-semantics.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/	current-rqv2-authority-document	A is the modeled protocol-principal identity coordinate, not a deployed identity or implementation object.
RQv2-DOC-EVIDENCE	Prototype execution report	canonical bounded execution evidence	docs/rq-v2/prototype-execution-report.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/	current-rqv2-authority-document	Evidence is limited to the three fixed-two-slot RQ-v2 prototypes and their recorded lemmas.
RQv2-DOC-INVARIANT	Invariant versus enforcement	supporting invariant and enforcement distinction	docs/rq-v2/invariant-vs-enforcement-analysis.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_party_admission.spthy	current-rqv2-supporting-analysis	The prototype validates one restoration mechanism but does not establish a uniquely required algorithm.
RQv2-DOC-THREAT	RQ-v2 threat model	canonical batch-composition adversary	docs/rq-v2/rq-v2-threat-model.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/rqv2_relaxed.spthy	current-rqv2-authority-document	The construction requires no cryptographic forgery; cryptographic mechanisms are not modeled by the prototypes.
RQv2-DOC-ARGUMENT	Complete argument map	canonical end-to-end claim map	docs/rq-v2/rq-v2-complete-argument-map.md	docs/rq-v2/prototype-execution-report.md	tamarin/rq-v2-minimal/	current-rqv2-authority-document	Formal evidence ends at duplicate receiver acceptance; KEY, TEST, output objects, and upper-layer impact are not directly formalized.
RQv2-SUPPORT-NECESSITY	Invariant necessity motivation	supporting conceptual motivation analysis	docs/rq-v2/invariant-necessity-analysis.md	docs/rq-v2/prototype-execution-report.md	-	current-rqv2-supporting-analysis	KEY, TEST, output-key, and correctness discussion is conceptual only and is not formalized by the prototypes.
RQv2-SUPPORT-ATTRIBUTION	Party-level attribution	supporting conceptual attribution analysis	docs/rq-v2/party-output-binding-analysis-final.md	docs/rq-v2/prototype-execution-report.md	-	current-rqv2-supporting-analysis	The legacy -final filename does not denote primary authority or a separate research version.
RQv2-SUPPORT-INTERFACE	Security-interface dependency	supporting conceptual interface analysis	docs/rq-v2/security-interface-dependency-analysis.md	docs/rq-v2/prototype-execution-report.md	-	current-rqv2-supporting-analysis	Original-interface motivation only; no formal KEY, TEST, output-key, or correctness-failure claim.
RQv2-EVIDENCE-FREEZE	RQ-v2 static freeze provenance	static evidence packaging record	docs/rq-v2/prototype-execution-report.md	artifact/rqv2-freeze/freeze-manifest.tsv	tamarin/rq-v2-minimal/	current-rqv2-evidence-package	Derived from the existing prototype execution report without rerunning the prover; it does not add raw proof output.
