property_id	tool	suite	target_id	actual_status	evidence_storage	source_run	selected_run	raw_path	raw_blob	raw_sha256	summary_path	evidence_commit	evidence_manifest_sha256
tam-combined-replay-normal_confirmed_single_accept	tamarin-prover	combined-replay	normal_confirmed_single_accept	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/normal_confirmed_single_accept.out	494bbb350498a944ccb447358181f9b5b39cf27d	1402fa1b1d38efba5b8fe1d7db458a4846aa004cc181044423c3fa69c0ca0a29	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-normal_confirmed_batch_complete	tamarin-prover	combined-replay	normal_confirmed_batch_complete	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/normal_confirmed_batch_complete.out	08d463b740f3a3d9b61a7f26ce7ceefb18774cd2	9e5a05c3ce04b911b5f82520283920f08b094e05cc66940719f31e87f863b41b	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-confirmed_receiver_accept_has_sender	tamarin-prover	combined-replay	confirmed_receiver_accept_has_sender	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/confirmed_receiver_accept_has_sender.out	65c1f2dc6dbde9efbe0dee51a089b3a610af9065	dd64d3107fd27677657bb969d3022e435af220b12c989104c693569df6fb1524	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-confirmed_message_unique_send	tamarin-prover	combined-replay	confirmed_message_unique_send	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/confirmed_message_unique_send.out	fc039bb1a853c03752aaac8307908426fa95835f	4be0abeacc439606e6537532e6deef8cbb7e2fca68f87dc0122886cb3c8570fb	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-one_confirmed_send_two_accepts_exists	tamarin-prover	combined-replay	one_confirmed_send_two_accepts_exists	falsified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/one_confirmed_send_two_accepts_exists.out	3f91f9b3e5caf931759885a0a070687d985bc29a	d2abf24c44669f464b5b9dfdf8ef212d6beef096116359eb4e5e557df8623c4e	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-confirmed_message_accepted_at_most_once	tamarin-prover	combined-replay	confirmed_message_accepted_at_most_once	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/confirmed_message_accepted_at_most_once.out	3fbef3e752690cd24257a0dcd8d04d493952b35c	0ad37e1b4d3471bf3658ec8132d44b5c58e5f2b29824334e5867bfa47cce1203	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-injective_confirmed_receiver_accept	tamarin-prover	combined-replay	injective_confirmed_receiver_accept	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/injective_confirmed_receiver_accept.out	f99574e6b9d89ae3ceca125b78ed03f968027817	50022e705cb6339c09a55b388a404046bf721407069652b72dfeb49de907f5cd	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-slot_indices_distinct	tamarin-prover	combined-replay	slot_indices_distinct	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/slot_indices_distinct.out	75abe75943545564124690451731c5d351c3c97b	19bc2b2bc9f01ae0c4a7f319fb0b1d7612a6e2d8845d59e4a065069ea95fc239	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-process_requires_slot_added	tamarin-prover	combined-replay	process_requires_slot_added	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/process_requires_slot_added.out	595a96cfe3d68985af1a4910bd4eaf2ba4e1a776	c8971149443c16c5dfac8a232708e56c13ed11e870ad5f9f44df90765f48208d	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
tam-combined-replay-process_requires_seal	tamarin-prover	combined-replay	process_requires_seal	verified	committed-git	run1	run1	logs/tamarin-m4-hmac-dedup/source-run1/proofs/combined-replay/process_requires_seal.out	a436ea33b79dbf87c397c456dcfc33bbb4c2c50f	bed4ad9ea9d31791a6be1d36c3c26dda503471c06cfc0661b2c1f4505b939099	logs/tamarin-m4-hmac-dedup/composite-summary.txt	740666a3abd6937b52818d0f4acaf8ea0d023c58	85d681ed0837898e96fc92d3bfabcd9b362398d48209803a0a14733e7f2b3c73
