family	suite	target_id	model_path	query_count	inherited	m4_execution_scope
original	proverif-original	BASELINE	logs/final/proverif/generated/BASELINE.pv	6	true	true
original	proverif-original	COMPONENT	logs/final/proverif/generated/COMPONENT.pv	1	true	true
original	proverif-original	EXCEPTION_CHOICE	logs/final/proverif/generated/EXCEPTION_CHOICE.pv	7	true	false
original	proverif-original	RECEIVER_EXCEPTION_CLASSIFICATION	logs/final/proverif/generated/RECEIVER_EXCEPTION_CLASSIFICATION.pv	2	true	false
original	proverif-original	LEAK_SIGSK_A	logs/final/proverif/generated/LEAK_SIGSK_A.pv	6	true	false
original	proverif-original	LEAK_SIGSK_B	logs/final/proverif/generated/LEAK_SIGSK_B.pv	6	true	false
original	proverif-original	LEAK_SIGSK_AB	logs/final/proverif/generated/LEAK_SIGSK_AB.pv	6	true	false
original	proverif-original	LEAK_SIGSK	logs/final/proverif/generated/LEAK_SIGSK.pv	6	true	false
original	proverif-original	LEAK_KEMSK	logs/final/proverif/generated/LEAK_KEMSK.pv	6	true	false
original	proverif-original	LEAK_EKEMSK	logs/final/proverif/generated/LEAK_EKEMSK.pv	6	true	false
original	proverif-original	LEAK_RSKEMSK	logs/final/proverif/generated/LEAK_RSKEMSK.pv	6	true	false
original	proverif-original	LEAK_SSKEMSK	logs/final/proverif/generated/LEAK_SSKEMSK.pv	6	true	false
original	proverif-original	LEAK_KEMSK_EKEMSK	logs/final/proverif/generated/LEAK_KEMSK_EKEMSK.pv	6	true	false
original	proverif-original	LEAK_ALL_RECEIVER_SECRETS	logs/final/proverif/generated/LEAK_ALL_RECEIVER_SECRETS.pv	6	true	false
hmac	proverif-hmac	HMAC_BASELINE	logs/variants/hmac-confirmation/proverif/generated/HMAC_BASELINE.pv	6	true	true
hmac	proverif-hmac	HMAC_COMPONENT	logs/variants/hmac-confirmation/proverif/generated/HMAC_COMPONENT.pv	1	true	true
hmac	proverif-hmac	HMAC_LEAK_SIGSK_A	logs/variants/hmac-confirmation/proverif/generated/HMAC_LEAK_SIGSK_A.pv	6	true	true
